keys,en,fr,de
TEST_ENTRY,"en","fr","de"
MENU_PLAY,"Play","Jouer","Spielen"
MENU_CONTINUE,"Continue","Continuer","Fortsetzen"
MENU_CREDITS,"Credits","Contributeur","Mitwirkende"
MENU_EXIT,"Exit","Sortie","Beenden"
MENU_OK,"Ok","Ok","Ok"
MENU_SACRIFICE,"Sacrifice","Sacrifice","Opfern"
MENU_BACK,"Back","Back","Zurück"
MENU_START,"Start","Start","Start"
CHAR_TITLE_EXPEDITION,"Expedition Group","Expedition Group","Expedition Gruppe"
CHAR_TITLE_SACRIFICE,"Sacrifice People","Sacrifice People","Menschenopfer"
CHAR_TITLE_OVERVIEW,"Tribe Overview","Tribe Overview","Stammesübersicht"
EXP_TITLE,"Expedition Route","Expedition Route","Expedition Route"
UNIT_PRINCESS_DESC,"dummy text","dummy text","dummy text1"
UNIT_SWORDMAN_DESC,"dummy text","dummy text","dummy text2"
UNIT_CHIEFTAN_DESC,"dummy text","dummy text","dummy text3"
UNIT_PHILOSOPHER_DESC,"dummy text","dummy text","dummy text4"
UNIT_FARMER_DESC,"dummy text","dummy text","dummy text5"
UNIT_ORACLE_DESC,"dummy text","dummy text","dummy text6"
UNIT_TRAVELLER_DESC,"dummy text","dummy text","dummy text7"
UNIT_MERCHANT_DESC,"dummy text","dummy text","dummy text8"
UNIT_HUSSARD_DESC,"dummy text","dummy text","dummy text9"
UNIT_PRIEST_DESC,"dummy text","dummy text","dummy text"
FADE_DAY,Day,Diaz,Tag
PLAY,"play","jouer","spielen"
NEXT,"next","suivant","weiter"
ACCEPT,"accept","accepter","akzeptieren"
REJECT,"reject","rejeter","ablehnen"
EVENT_SWORDBREAD_TITLE,"The sword and the bread","Le pain et le glaive","dummy text"
EVENT_SWORDBREAD_DESC,"As the rising sun barely begins to dazzle the camp like the rage of the Soul Eater, your men notice a procession of soldiers watching them from a hill. Their paraphernalia reminds you of Ketchak handicrafts. Fear not, these people may appear hostile, but they are also known to be friendly as long as you are safe. One of them approaches firmly, holding a spear in his left hand and swinging it over his shoulders. Attached at both ends are a sword on one side and a loaf of bread on the other. Seeing you approach he cheers in Ketchak tongue:  «Hear, Princess of a faraway land! In the name of the friendship between our two peoples, I ask you to declare your intentions: War or comradeship? »,"Alors que soleil levant commence à peine à éblouir le campement tel la rage du mange-Âme, vos hommes remarquent un cortège de soldats les observant depuis une colline. Leur attirail vous évoque l'artisanat Ketchak. Vous n'avez crainte, ce peuple peut paraître hostile, mais il est aussi connu pour s'avérer amical tant que vous ne présentez aucun danger.  L'un d'entre eux s'approche fermement, tenant dans sa main gauche une lance qu'il maintient en balancier sur ses épaules. Attachés aux deux extrémités, sont d'un côté un glaive et de l'autre un pain. Vous voyant approcher il s'acclame en langue Ketchak :  «Oyez Princesse d'une contrée lointaine ! Au nom de l'amitié entre nos deux peuples, je vous prie de déclarer vos intentions : La guerre ou la camaraderie ? »,"dummy text"
EVENT_SWORDBREAD_YES,"Taking the bread","Prendre le pain","dummy text"
EVENT_SWORDBREAD_NO,"Take the sword","Prendre l'épée","dummy text"
EVENT_SWORDBREAD_NO_PROMPT,"Choose those who will go to fight","Choissez ceux qui iront se battre","dummy text"
EVENT_JOINING_TITLE,"Newcomers","Nouveaux arrivants","dummy text"
EVENT_JOINING_DESC,"In the middle of the night, a swarming mass of poor people appears. No sooner do they perceive you than they raise the scarlet Trija banner. Survivors of the massacre! They approach you as supplicants and lend you allegiance.","Au beau milieu de la nuit, une masse grouillante pauvres gens apparaît. À peine vous apperçoivent-ils qu'ils font surgir l'étendard écarlate de Trija. Des rescapés du massacre ! Suppliants, ils s'approchent et vous prêtent allégiance.","dummy text"
EVENT_JOINING_YES,"recruit","recruter","dummy text"
EVENT_JOINING_NO_DICE_PROMPT_OBJECTIVE,"reject newcomers","les faire partir","dummy text"
EVENT_EXPEDITIONEND_TITLE,"End of expedition","Fin d'expédition","dummy text"
EVENT_EXPEDITIONEND_DESC,"Several days after leaving on an expedition, your men should return at any moment. You decide to wait all day, but if they are too late, then they are probably dead. Will they come back decorated with a thousand treasures, or will their fate be sealed by your impatience?","Plusieurs jours après être partis en expédition, vos hommes devraient revenir d'un instant à l'autre. Vous décidez de patienter toute la journée, mais s'ils tardent trop, alors c'est qu'ils sont surement morts. Reviendront-ils décorés de milles trésors, ou leur destin sera-t-il scellé par votre impatience ?","dummy text"
EVENT_EXPEDITIONEND_SUCCESS_BUTTON,"Here they come!","Ils arrivent !","dummy text"
